list,구이,기타,면,갈비구이,곱창구이,닭갈비,라면,막국수,물냉면,비빔냉면,삼겹살,양념치킨,조개구이,짜장면,짬뽕,쫄면,피자,후라이드치킨
c:/data/kfood\구이\닭갈비\Img_004_0690.jpg,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\기타\양념치킨\Img_023_0342.jpg,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
c:/data/kfood\구이\닭갈비\Img_004_0482.jpg,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\비빔냉면\Img_053_0978.jpg,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
c:/data/kfood\면\비빔냉면\Img_053_1001.jpg,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
c:/data/kfood\기타\후라이드치킨\Img_028_0012.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
c:/data/kfood\기타\후라이드치킨\Img_028_0501.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
c:/data/kfood\면\막국수\Img_051_0110.jpg,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\구이\닭갈비\Img_004_0294.jpg,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\쫄면\Img_059_0807.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
c:/data/kfood\면\물냉면\Img_052_0558.jpg,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\라면\Img_050_0400.jpg,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\구이\곱창구이\Img_003_0554.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\라면\Img_050_0766.jpg,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\기타\양념치킨\Img_023_0211.jpg,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
c:/data/kfood\구이\닭갈비\Img_004_0468.jpg,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\막국수\Img_051_0439.jpg,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\짬뽕\Img_058_0529.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
c:/data/kfood\기타\양념치킨\Img_023_0056.jpg,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
c:/data/kfood\면\쫄면\Img_059_0917.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
c:/data/kfood\면\쫄면\Img_059_0328.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
c:/data/kfood\구이\닭갈비\Img_004_0306.jpg,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\구이\조개구이\Img_010_0024.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
c:/data/kfood\면\비빔냉면\Img_053_0178.jpg,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
c:/data/kfood\구이\갈비구이\Img_000_0563.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\구이\갈비구이\Img_000_0003.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\구이\곱창구이\Img_003_0425.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\비빔냉면\Img_053_0600.jpg,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
c:/data/kfood\기타\후라이드치킨\Img_028_0769.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
c:/data/kfood\구이\곱창구이\Img_003_0666.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\쫄면\Img_059_0077.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
c:/data/kfood\면\비빔냉면\Img_053_0156.jpg,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
c:/data/kfood\구이\닭갈비\Img_004_0013.JPG,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\면\막국수\Img_051_0540.jpg,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
c:/data/kfood\기타\후라이드치킨\Img_028_0746.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
c:/data/kfood\기타\후라이드치킨\Img_028_0306.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
c:/data/kfood\기타\양념치킨\Img_023_0638.jpg,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
c:/data/kfood\구이\조개구이\Img_010_0910.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
